SK_ID_CURR,predicted_target
307579,0
221838,0
194532,0
216272,0
325581,0
177552,0
248378,0
107305,0
147580,0
96500,0
60716,0
210737,0
308584,0
274630,0
116346,0
187958,0
339426,0
20095,0
140638,0
306689,0
183352,0
15,0
14292,0
270374,0
90502,0
106642,0
76184,0
140296,0
245352,0
219816,0
294406,0
39388,0
140225,0
184279,0
245114,0
36945,0
307993,0
210119,0
309275,0
26184,0
342076,0
81459,0
321395,0
164553,0
309046,0
331945,0
66573,0
341838,0
235114,0
244447,0
186926,0
51816,0
341560,0
226230,0
255993,0
15330,0
261727,0
245499,0
6290,0
124807,0
284385,0
209057,0
277311,0
15471,0
234916,0
222579,0
296137,0
227405,0
249838,0
40735,0
1321,0
254527,0
167710,0
292900,0
102851,0
315695,0
345420,0
52030,0
354083,0
145161,0
123218,0
159925,0
318526,0
22656,0
176652,0
39507,0
262264,0
288061,0
355678,0
310649,0
143018,0
226290,0
203741,0
72654,0
299362,0
160867,0
336708,0
291421,0
293996,0
353516,0
127064,0
262810,0
153045,0
136064,0
302683,0
250275,0
72040,0
146135,0
183800,0
287195,0
133129,0
146611,0
279186,0
84378,0
90722,0
115600,0
198113,0
25071,0
74968,0
167798,0
156092,0
97104,0
162667,0
291065,0
90019,0
67551,0
82687,0
323205,0
285626,0
261358,0
21215,0
195945,0
89602,0
20519,0
312615,0
149581,0
39389,0
135368,0
143719,0
292610,0
34572,0
53527,0
342108,0
206697,0
238907,0
253996,0
46362,0
48245,0
146885,0
21820,0
52068,0
285506,0
308539,0
39684,0
347257,0
93717,0
16250,0
185947,0
334827,0
186112,0
89579,0
141865,0
334264,0
206592,0
341934,0
33805,0
206613,0
231466,0
312337,0
21801,0
35031,0
283742,0
123441,0
57470,0
52727,0
4693,0
215337,0
156192,0
238426,0
73135,0
25618,0
155745,0
213369,0
318359,0
77836,0
219949,0
331968,0
210222,0
154707,0
246577,0
125392,0
9160,0
333340,0
282005,0
1508,0
308551,0
173479,0
57263,0
55605,0
70287,0
255418,0
135408,0
314696,0
79889,0
95034,0
201207,0
124767,0
354133,0
95847,0
351364,0
65676,0
230643,0
135249,0
341634,0
44103,0
261246,0
33148,0
179395,0
52390,0
25492,0
196071,0
139953,0
113876,0
323280,0
200204,0
105024,0
64572,0
258313,0
189401,0
325283,0
208415,0
321221,0
128392,0
125345,0
142288,0
91816,0
162799,0
122267,0
277877,0
324761,0
244332,0
156590,0
287097,0
53946,0
330749,0
54772,0
26808,0
261955,0
65232,0
313722,0
241533,0
54435,0
277099,0
50935,0
244024,0
40824,0
112192,0
31711,0
242720,0
16079,0
314879,0
208501,0
24991,0
287831,0
281896,0
353819,0
182053,0
338724,0
230290,0
354206,0
229413,0
31544,0
87049,0
207929,0
286587,0
153000,0
349225,0
334347,0
100811,0
290699,0
94260,0
119424,0
299403,0
307083,0
205504,0
350423,0
168032,0
209122,0
253242,0
50446,0
105979,0
37857,0
89961,0
294242,0
92270,0
306778,0
202033,0
141111,0
53495,0
149783,0
232430,0
237985,0
256462,0
194099,0
351917,0
107461,0
48495,0
4132,0
270636,0
181801,0
71193,0
287224,0
144272,0
277392,0
156040,0
129635,0
352898,0
256530,0
208929,0
258867,0
308561,0
201271,0
20611,0
34853,0
177818,0
266836,0
295058,0
99982,0
40301,0
62501,0
258915,0
122821,0
121380,0
191137,0
221916,0
36401,0
8255,0
265505,0
268969,0
88205,0
162739,0
152566,0
203398,0
326711,0
15728,0
120960,0
290807,0
249583,0
79610,0
152991,0
197085,0
245032,0
243821,0
52330,0
35921,0
174220,0
71097,0
182897,0
66127,0
107651,0
337183,0
64835,0
68705,0
72528,0
243791,0
137395,0
188484,0
322276,0
285732,0
112929,0
350030,0
235809,0
325059,0
319473,0
230647,0
82960,0
321741,0
173418,0
312452,0
327425,0
147660,0
117495,0
107801,0
183174,0
314530,0
18223,0
346892,0
206524,0
80929,0
209764,0
157328,1
238357,0
327223,0
273174,0
226846,0
212007,0
80445,0
184377,0
242990,0
195977,0
305102,0
240033,0
43687,0
14888,0
206136,0
72003,0
260357,0
212774,0
279139,0
90318,0
116448,0
143164,0
315210,0
285242,0
253984,0
317796,0
27850,0
94672,0
310534,0
133836,0
131647,0
71431,0
154052,0
317132,0
331410,0
323002,0
175976,0
20709,0
355132,0
206270,0
52095,0
309130,0
215303,0
53473,0
124328,0
298886,0
272281,0
294003,0
18392,0
314493,0
114979,0
91809,0
140696,0
139830,0
181746,0
3964,0
131491,0
345001,0
281550,0
26711,0
85010,0
215460,0
131661,0
185368,0
106728,0
37354,0
139793,0
315904,0
344986,0
218830,0
297553,0
267007,0
344811,0
142936,0
289272,0
118172,0
215407,0
26028,0
247506,0
343496,0
126679,0
28439,0
321441,0
157561,0
6151,0
259532,0
355340,0
84206,0
49924,0
343138,0
304058,0
139087,0
215602,0
129037,0
121862,0
299759,0
340752,0
236346,0
45485,0
209401,0
313355,0
307979,0
190949,0
291942,0
172442,0
271479,0
245759,0
192810,0
107003,0
36771,0
299363,0
236512,0
323212,0
30981,0
327732,0
44069,0
155270,0
275390,0
304512,0
2088,0
161709,0
65131,0
100794,0
240944,0
119602,0
195357,0
67307,0
305094,0
181501,0
178215,0
206092,0
194593,0
18093,0
152930,0
99120,0
234632,0
261137,0
338932,0
297252,0
99667,0
286195,0
290785,0
345562,0
289675,0
244545,0
6428,0
205424,0
30829,0
142657,0
192400,0
212072,0
116811,0
254965,0
63402,0
45544,1
279143,0
245978,0
195887,0
131341,0
117541,0
217003,0
147478,0
83448,0
250628,0
97376,0
171540,0
125712,0
295736,0
83466,0
236484,0
161394,0
230646,0
323783,0
293009,0
257609,0
96554,0
193034,0
301182,0
117598,0
725,1
246592,0
118856,0
46940,0
283395,0
196206,0
59197,0
193206,0
293479,0
306822,0
330039,0
186215,0
245301,0
198513,0
184217,0
215741,0
199441,0
162411,0
110916,0
4848,0
182043,0
129863,0
8252,0
42750,0
9158,0
309647,0
299278,0
149272,0
4985,0
190454,0
49283,0
156488,0
256514,0
171258,0
163909,0
12481,0
266307,0
71908,0
343929,0
258810,0
124028,0
321253,0
87197,0
55206,0
332743,0
176543,0
95180,0
61833,0
235603,0
209090,0
16499,0
214508,0
230770,0
280095,0
58429,0
108942,0
307166,0
65008,0
295538,0
240595,0
90551,0
32391,0
33471,0
175548,0
23940,0
344171,0
346419,0
43682,0
257589,0
346726,0
342382,0
121823,0
133301,0
203283,0
298534,0
54958,0
193670,0
77139,0
109413,0
154429,0
298209,0
336273,0
353242,0
308284,0
69780,0
103890,0
105048,1
93169,0
318817,0
43881,0
305122,0
146172,0
80402,0
45322,0
78724,0
195536,0
305734,0
248394,0
293047,0
242846,0
255984,0
224976,0
199504,0
144697,0
310522,0
115478,0
315166,0
303623,0
115421,0
42108,0
200693,0
126790,0
64603,0
318192,0
128422,0
216361,0
329693,0
58710,0
330051,0
158469,0
183734,0
336450,0
89160,0
222210,0
149508,0
13440,0
242360,0
96974,0
51235,0
48795,0
10841,0
330438,0
78326,0
163359,0
169321,0
144120,0
27868,0
74716,0
131613,0
302433,0
276106,0
100167,0
90073,0
38165,0
172460,0
149878,0
88501,0
215009,0
99941,0
131344,0
327385,0
108750,0
6197,0
214216,0
68296,0
349883,0
18456,0
116242,0
117752,0
40108,0
332763,0
108950,0
199511,0
165705,0
227579,0
352596,0
199604,0
27218,0
355198,0
355206,0
52604,0
272612,0
251481,0
107736,0
259902,0
325825,0
200489,0
254431,0
77984,0
238796,0
211188,0
314986,0
110496,0
25599,0
30766,0
35874,0
85014,0
106633,0
221359,0
350814,0
273083,0
130695,0
88845,0
12628,0
67693,0
155512,0
225523,0
112501,0
187066,0
347925,0
34795,0
34564,0
304490,0
260141,0
124687,0
59194,0
323879,0
187100,0
41618,0
214182,0
347330,0
85265,0
200053,0
62430,0
184749,0
324474,0
345439,0
344972,0
237250,0
220811,0
285538,0
210584,0
277958,0
16113,0
294004,0
221216,0
159095,0
207034,0
155201,0
230415,0
350217,0
114628,0
106582,0
62047,0
183595,0
156577,0
94354,0
170535,0
30341,0
311096,0
94545,0
21248,0
284741,0
14854,0
291707,0
209115,0
272325,0
5236,0
205290,0
31645,0
48741,0
130616,0
186949,0
236627,0
118150,0
234175,0
287619,0
274007,0
207229,0
12199,0
326625,0
348717,0
150566,0
98668,0
247090,0
321854,0
335541,0
89596,0
22823,0
314926,0
32112,0
232567,0
54497,0
33389,0
155281,0
119516,0
248450,0
205486,0
284961,0
230510,0
150049,0
325617,0
118461,0
58295,0
82015,0
108414,0
350049,0
58801,0
120584,0
217146,0
308911,0
95594,0
4127,0
55771,0
139364,0
305421,0
95351,0
346437,0
12229,0
7462,0
156609,0
110010,0
218664,0
85381,0
271207,0
92960,0
159607,0
24782,0
330061,0
315714,0
17498,0
314016,0
122789,0
204892,0
82559,0
38984,0
197197,0
337430,0
108577,0
308117,0
2925,0
235596,0
139972,0
97446,0
113576,0
206320,0
83046,0
102772,0
269528,0
107614,0
34790,0
130291,0
53914,0
95626,0
248203,0
352976,0
177905,0
46951,0
293626,0
323182,0
83206,0
151612,0
34334,0
14817,0
37615,0
147549,0
186114,0
146033,0
148597,0
99019,0
68782,0
157861,0
